vector;neuron;step;score
[4.636530,2.323766,4.069239,0.287757];38;3;0
[4.551663,2.491172,3.722381,2.067225];39;3;0
[6.363947,3.813394,1.306439,0.478737];40;3;2
[7.899977,2.490389,6.250738,0.401124];41;3;0
[7.892076,2.129738,6.136185,0.273589];42;3;0
[4.369882,4.171835,4.488464,0.556486];43;3;0
[5.065214,2.919506,6.036639,1.954689];44;3;0
[5.947823,2.957789,4.125591,1.265855];45;3;23
[6.675613,2.321431,4.112433,1.826900];46;3;0
[5.417131,4.332713,4.391700,2.178400];47;3;0
[6.992113,3.509384,1.208983,1.894727];48;3;0
[7.299659,4.220904,6.152301,2.094490];49;3;0
[7.825963,3.785147,6.329861,2.460630];50;3;6
[6.700769,3.193420,1.967411,2.092028];51;3;0
[7.500216,2.184787,4.833271,0.695306];52;3;0
[6.556213,2.555247,5.109547,0.869829];53;3;0
[5.530945,2.574213,1.634379,1.594841];54;3;0
[5.251133,3.450805,4.011133,2.265492];55;3;0
[5.368975,3.271432,5.148154,0.443165];56;3;0
[5.999524,3.408865,6.516785,1.184708];57;3;0
[5.510864,4.034443,3.563628,0.107756];58;3;0
[5.541795,3.436355,5.916135,0.661340];59;3;0
[7.280859,2.954315,5.595057,2.009605];0;4;12
[7.270700,2.611459,3.394477,1.933035];1;4;0
[5.842659,3.188029,4.747667,1.784637];2;4;14
[6.229652,3.010389,5.714649,1.963741];3;4;17
[6.455704,3.540192,2.954737,1.679197];4;4;0
[4.573195,2.784006,2.045673,1.803090];5;4;0
[5.029213,3.548680,1.859729,0.388342];6;4;48
[7.485858,2.711068,3.714313,1.862397];7;4;0
[6.462276,2.743985,4.673549,1.328816];8;4;21
[6.076899,4.334660,2.725849,1.951258];9;4;0
[6.189980,3.834016,3.391947,2.230320];10;4;0
[5.403221,2.882398,5.693967,2.260628];11;4;1
[4.973992,3.967232,4.427457,0.756274];12;4;0
[5.394594,3.430850,6.032290,1.301074];13;4;0
[4.824541,2.255074,3.988335,0.555798];14;4;4
[5.199704,4.239525,5.968923,2.010827];15;4;0
[5.236521,3.369460,3.020962,1.700896];16;4;1
[6.064848,3.617705,3.964688,0.210075];17;4;0
[5.859002,4.227123,6.394118,1.799866];18;4;0
[5.323456,3.772482,4.775875,0.949717];19;4;0
[6.768915,2.405095,3.606760,2.208706];20;4;0
[7.239551,2.806449,2.459797,2.233078];21;4;0
[5.602107,3.611592,6.552518,1.547412];22;4;0
[6.624107,3.975284,3.752865,2.288085];23;4;0
[5.761337,3.888754,5.019121,2.240543];24;4;0
[6.023390,2.562855,6.416142,2.235203];25;4;0
[4.865979,4.077776,4.677597,1.117397];26;4;0
[6.496570,2.699514,5.544415,0.832398];27;4;1
[5.902499,2.553254,2.104705,0.759904];28;4;0
[6.303198,2.999603,2.000682,2.276329];29;4;0
[4.671416,2.302581,3.923120,1.925141];30;4;1
[7.845106,4.244010,5.038226,1.019652];31;4;0
[6.999175,2.884793,2.735546,0.657428];32;4;0
[6.397690,2.591129,1.943783,1.845307];33;4;0
[4.855276,3.819502,2.124270,1.842992];34;4;0
[4.793049,4.063056,1.704632,1.344159];35;4;0
[5.023895,2.593344,5.575888,1.815481];36;4;0
[6.651642,4.289407,4.756368,1.910106];37;4;0
[4.636530,2.323766,4.069239,0.287757];38;4;0
[4.551663,2.491172,3.722381,2.067225];39;4;0
[6.363947,3.813394,1.306439,0.478737];40;4;2
[7.899977,2.490389,6.250738,0.401124];41;4;0
[7.892076,2.129738,6.136185,0.273589];42;4;0
[4.369882,4.171835,4.488464,0.556486];43;4;0
[5.065214,2.919506,6.036639,1.954689];44;4;0
[5.947823,2.957789,4.125591,1.265855];45;4;22
[6.675613,2.321431,4.112433,1.826900];46;4;0
[5.417131,4.332713,4.391700,2.178400];47;4;0
[6.992113,3.509384,1.208983,1.894727];48;4;0
[7.299659,4.220904,6.152301,2.094490];49;4;0
[7.825963,3.785147,6.329861,2.460630];50;4;6
[6.700769,3.193420,1.967411,2.092028];51;4;0
[7.500216,2.184787,4.833271,0.695306];52;4;0
[6.556213,2.555247,5.109547,0.869829];53;4;0
[5.530945,2.574213,1.634379,1.594841];54;4;0
[5.251133,3.450805,4.011133,2.265492];55;4;0
[5.368975,3.271432,5.148154,0.443165];56;4;0
[5.999524,3.408865,6.516785,1.184708];57;4;0
[5.510864,4.034443,3.563628,0.107756];58;4;0
[5.541795,3.436355,5.916135,0.661340];59;4;0
[7.280859,2.954315,5.595057,2.009605];0;5;12
[7.270700,2.611459,3.394477,1.933035];1;5;0
[5.842659,3.188029,4.747667,1.784637];2;5;14
[6.229652,3.010389,5.714649,1.963741];3;5;17
[6.410932,3.535880,2.913071,1.639854];4;5;0
[4.635819,2.874389,1.980281,1.597217];5;5;0
[5.008764,3.444604,1.677919,0.396503];6;5;48
[7.121113,2.812154,3.404084,1.647822];7;5;0
[6.417302,2.764161,4.579019,1.300250];8;5;21
[6.076899,4.334660,2.725849,1.951258];9;5;0
[6.189980,3.834016,3.391947,2.230320];10;5;0
[5.403221,2.882398,5.693967,2.260628];11;5;1
[4.973992,3.967232,4.427457,0.756274];12;5;0
[5.394594,3.430850,6.032290,1.301074];13;5;0
[4.828273,2.279425,3.937539,0.552484];14;5;4
[5.184364,4.175038,5.633334,1.887095];15;5;0
[5.201817,3.373941,2.812467,1.510018];16;5;1
[5.983054,3.600982,3.783049,0.224664];17;5;0
[5.840732,4.209531,6.292154,1.770093];18;5;0
[5.323456,3.772482,4.775875,0.949717];19;5;0
[6.768915,2.405095,3.606760,2.208706];20;5;0
[7.239551,2.806449,2.459797,2.233078];21;5;0
[5.602107,3.611592,6.552518,1.547412];22;5;0
[6.624107,3.975284,3.752865,2.288085];23;5;0
[5.754920,3.884634,4.990301,2.225029];24;5;0
[6.001625,2.580659,6.313711,2.196171];25;5;0
[4.870101,4.056931,4.582943,1.095333];26;5;0
[6.464740,2.714413,5.460524,0.823201];27;5;1
[5.894892,2.560391,2.100451,0.756870];28;5;0
[6.303198,2.999603,2.000682,2.276329];29;5;0
[4.671416,2.302581,3.923120,1.925141];30;5;1
[7.845106,4.244010,5.038226,1.019652];31;5;0
[6.999175,2.884793,2.735546,0.657428];32;5;0
[6.397690,2.591129,1.943783,1.845307];33;5;0
[4.855276,3.819502,2.124270,1.842992];34;5;0
[4.793049,4.063056,1.704632,1.344159];35;5;0
[5.023895,2.593344,5.575888,1.815481];36;5;0
[6.651642,4.289407,4.756368,1.910106];37;5;0
[4.636530,2.323766,4.069239,0.287757];38;5;0
[4.551663,2.491172,3.722381,2.067225];39;5;0
[6.363947,3.813394,1.306439,0.478737];40;5;2
[7.899977,2.490389,6.250738,0.401124];41;5;0
[7.892076,2.129738,6.136185,0.273589];42;5;0
[4.369882,4.171835,4.488464,0.556486];43;5;0
[5.065214,2.919506,6.036639,1.954689];44;5;0
[5.947823,2.957789,4.125591,1.265855];45;5;22
[6.675613,2.321431,4.112433,1.826900];46;5;0
[5.417131,4.332713,4.391700,2.178400];47;5;0
[6.992113,3.509384,1.208983,1.894727];48;5;0
[7.299659,4.220904,6.152301,2.094490];49;5;0
[7.825963,3.785147,6.329861,2.460630];50;5;6
[6.700769,3.193420,1.967411,2.092028];51;5;0
[7.500216,2.184787,4.833271,0.695306];52;5;0
[6.556213,2.555247,5.109547,0.869829];53;5;0
[5.530945,2.574213,1.634379,1.594841];54;5;0
[5.251133,3.450805,4.011133,2.265492];55;5;0
[5.368975,3.271432,5.148154,0.443165];56;5;0
[5.999524,3.408865,6.516785,1.184708];57;5;0
[5.510864,4.034443,3.563628,0.107756];58;5;0
[5.541795,3.436355,5.916135,0.661340];59;5;0
[7.280859,2.954315,5.595057,2.009605];0;6;12
[7.270700,2.611459,3.394477,1.933035];1;6;0
[5.842659,3.188029,4.747667,1.784637];2;6;12
[6.229652,3.010389,5.714649,1.963741];3;6;17
[6.410932,3.535880,2.913071,1.639854];4;6;0
[4.635819,2.874389,1.980281,1.597217];5;6;0
[5.008764,3.444604,1.677919,0.396503];6;6;48
[7.121113,2.812154,3.404084,1.647822];7;6;0
[6.417302,2.764161,4.579019,1.300250];8;6;22
[6.076899,4.334660,2.725849,1.951258];9;6;0
[6.189980,3.834016,3.391947,2.230320];10;6;0
[5.403221,2.882398,5.693967,2.260628];11;6;1
[4.973992,3.967232,4.427457,0.756274];12;6;0
[5.394594,3.430850,6.032290,1.301074];13;6;0
[4.828273,2.279425,3.937539,0.552484];14;6;3
[5.184364,4.175038,5.633334,1.887095];15;6;0
[5.201817,3.373941,2.812467,1.510018];16;6;1
[5.983054,3.600982,3.783049,0.224664];17;6;0
[5.840732,4.209531,6.292154,1.770093];18;6;0
[5.323456,3.772482,4.775875,0.949717];19;6;0
[6.768915,2.405095,3.606760,2.208706];20;6;0
[7.239551,2.806449,2.459797,2.233078];21;6;0
[5.602107,3.611592,6.552518,1.547412];22;6;0
[6.615475,3.967063,3.755791,2.279756];23;6;0
[5.751625,3.865819,4.971366,2.205355];24;6;0
[5.989272,2.593557,6.245626,2.168608];25;6;0
[4.885625,4.034452,4.572672,1.099686];26;6;0
[6.457452,2.716820,5.449056,0.827220];27;6;1
[5.894892,2.560391,2.100451,0.756870];28;6;0
[6.303198,2.999603,2.000682,2.276329];29;6;0
[4.671416,2.302581,3.923120,1.925141];30;6;1
[7.845106,4.244010,5.038226,1.019652];31;6;0
[6.999175,2.884793,2.735546,0.657428];32;6;0
[6.380724,2.599825,1.989642,1.833709];33;6;0
[4.912480,3.756554,2.276031,1.801283];34;6;0
[4.911452,3.907076,2.056100,1.337679];35;6;0
[5.068147,2.624581,5.462521,1.775885];36;6;0
[6.629275,4.261983,4.742408,1.897130];37;6;0
[4.636530,2.323766,4.069239,0.287757];38;6;0
[4.551663,2.491172,3.722381,2.067225];39;6;0
[6.363947,3.813394,1.306439,0.478737];40;6;2
[7.899977,2.490389,6.250738,0.401124];41;6;0
[7.892076,2.129738,6.136185,0.273589];42;6;0
[4.407715,4.135794,4.476516,0.579354];43;6;0
[5.143682,2.931317,5.752480,1.858628];44;6;0
[5.704347,2.987337,4.107677,1.289756];45;6;23
[6.517790,2.420996,4.110609,1.749589];46;6;1
[5.422755,4.291724,4.382729,2.151384];47;6;0
[6.992113,3.509384,1.208983,1.894727];48;6;0
[7.299659,4.220904,6.152301,2.094490];49;6;0
[7.825963,3.785147,6.329861,2.460630];50;6;6
[6.700769,3.193420,1.967411,2.092028];51;6;0
[7.500216,2.184787,4.833271,0.695306];52;6;0
[6.535876,2.564707,5.088075,0.878978];53;6;0
[5.536249,2.606919,1.823770,1.572194];54;6;0
[5.302322,3.384659,4.024172,2.123828];55;6;0
[5.386721,3.250582,5.067642,0.508981];56;6;0
[5.991027,3.400169,6.465384,1.187160];57;6;0
[5.510864,4.034443,3.563628,0.107756];58;6;0
[5.541795,3.436355,5.916135,0.661340];59;6;0
[7.280859,2.954315,5.595057,2.009605];0;7;12
[7.270700,2.611459,3.394477,1.933035];1;7;0
[5.842659,3.188029,4.747667,1.784637];2;7;12
[6.229652,3.010389,5.714649,1.963741];3;7;18
[6.379840,3.547079,2.875762,1.601721];4;7;0
[4.747946,3.024875,1.939156,1.421552];5;7;1
[5.282629,3.763381,1.693376,0.398951];6;7;48
[6.868578,2.971771,3.154048,1.464732];7;7;0
[6.386014,2.799095,4.490472,1.272562];8;7;21
[6.076899,4.334660,2.725849,1.951258];9;7;0
[6.189980,3.834016,3.391947,2.230320];10;7;0
[5.403221,2.882398,5.693967,2.260628];11;7;1
[4.973992,3.967232,4.427457,0.756274];12;7;0
[5.394594,3.430850,6.032290,1.301074];13;7;0
[4.840433,2.313892,3.889950,0.549241];14;7;3
[5.200928,4.153912,5.331203,1.772867];15;7;0
[5.230896,3.451129,2.649237,1.347147];16;7;1
[5.938268,3.623951,3.623045,0.238132];17;7;0
[5.831358,4.202948,6.194487,1.740953];18;7;0
[5.323456,3.772482,4.775875,0.949717];19;7;0
[6.768915,2.405095,3.606760,2.208706];20;7;0
[7.239551,2.806449,2.459797,2.233078];21;7;0
[5.602107,3.611592,6.552518,1.547412];22;7;0
[6.615475,3.967063,3.755791,2.279756];23;7;0
[5.748661,3.866107,4.943792,2.190138];24;7;0
[5.976739,2.621343,6.148948,2.130993];25;7;0
[4.901445,4.030316,4.484320,1.078167];26;7;0
[6.434961,2.741984,5.369320,0.818134];27;7;0
[5.890721,2.571682,2.097076,0.753862];28;7;0
[6.303198,2.999603,2.000682,2.276329];29;7;0
[4.671416,2.302581,3.923120,1.925141];30;7;1
[7.845106,4.244010,5.038226,1.019652];31;7;0
[6.999175,2.884793,2.735546,0.657428];32;7;0
[6.380724,2.599825,1.989642,1.833709];33;7;0
[4.912480,3.756554,2.276031,1.801283];34;7;0
